SampleID,Paired,Garden Plant ID,2020 STATUS,Project,Location,Subspecies,Year,Plant,Ploidy,Subsp_ploidy,Patch,Date,Veg_Type,Collection,DNA Concentration (ng/uL),Description,Plant Group,Site,Latitude,Longitude,Elevation (m)
WAT.2.1_2021,TRUE,158,,OCG,WA,T,2021,WAT.2.1,4n,T_4n,NA,NA,NA,NA,146.7,WAT.2.1_2021,WAT-2,Crab Creek,46.9488,-119.2371,312
WAT.2.10_2012,FALSE,100,D,OCG,WA,T,2012,WAT.2.10,4n,T_4n,NA,NA,NA,NA,34.9,WAT.2.10_2012,WAT-2,Crab Creek,46.9488,-119.2371,312
WAT.2.3_2012,FALSE,10,D,OCG,WA,T,2012,WAT.2.3,4n,T_4n,NA,NA,NA,NA,19.6,WAT.2.3_2012,WAT-2,Crab Creek,46.9488,-119.2371,312
WAT.2.4_2012,TRUE,268,A,OCG,WA,T,2012,WAT.2.4,4n,T_4n,NA,NA,NA,NA,83.2,WAT.2.4_2012,WAT-2,Crab Creek,46.9488,-119.2371,312
WAT.2.4_2021,TRUE,268,,OCG,WA,T,2021,WAT.2.4,4n,T_4n,NA,NA,NA,NA,43.5,WAT.2.4_2021,WAT-2,Crab Creek,46.9488,-119.2371,312
WAT.2.7_2012,FALSE,282,D,OCG,WA,T,2012,WAT.2.7,4n,T_4n,NA,NA,NA,NA,71.1,WAT.2.7_2012,WAT-2,Crab Creek,46.9488,-119.2371,312
WAT.2.8_2012v1,TRUE,64,A,OCG,WA,T,2012,WAT.2.8,4n,T_4n,NA,NA,NA,NA,19.1,WAT.2.8_2012,WAT-2,Crab Creek,46.9488,-119.2371,312
WAT.2.8_2012v2,TRUE,64,A,OCG,WA,T,2012,WAT.2.8,4n,T_4n,NA,NA,NA,NA,21.6,WAT.2.8_2012,WAT-2,Crab Creek,46.9488,-119.2371,312
WAT.2.8_2021,TRUE,64,,OCG,WA,T,2021,WAT.2.8,4n,T_4n,NA,NA,NA,NA,114.6,WAT.2.8_2021,WAT-2,Crab Creek,46.9488,-119.2371,312
WAT.2.9_2012,TRUE,169,A,OCG,WA,T,2012,WAT.2.9,4n,T_4n,NA,NA,NA,NA,20.9,WAT.2.9_2012,WAT-2,Crab Creek,46.9488,-119.2371,312
WAT.2.9_2021,TRUE,169,,OCG,WA,T,2021,WAT.2.9,4n,T_4n,NA,NA,NA,NA,63.2,WAT.2.9_2021,WAT-2,Crab Creek,46.9488,-119.2371,312
WAW.1.1_2012,FALSE,287,D,OCG,WA,W,2012,WAW.1.1,4n,W_4n,NA,NA,NA,NA,15.8,WAW.1.1_2012,WAW-1,Saddle Mtn,46.7672,-119.4727,297
WAW.1.2_2012,TRUE,418,A,OCG,WA,W,2012,WAW.1.2,4n,W_4n,NA,NA,NA,NA,0.1,WAW.1.2_2012,WAW-1,Saddle Mtn,46.7672,-119.4727,297
WAW.1.2_2021,TRUE,418,,OCG,WA,W,2021,WAW.1.2,4n,W_4n,NA,NA,NA,NA,130.6,WAW.1.2_2021,WAW-1,Saddle Mtn,46.7672,-119.4727,297
WAW.1.3_2012,TRUE,356,A,OCG,WA,W,2012,WAW.1.3,4n,W_4n,NA,NA,NA,NA,20.7,WAW.1.3_2012,WAW-1,Saddle Mtn,46.7672,-119.4727,297
WAW.1.3_2021,TRUE,356,,OCG,WA,W,2021,WAW.1.3,4n,W_4n,NA,NA,NA,NA,117.6,WAW.1.3_2021,WAW-1,Saddle Mtn,46.7672,-119.4727,297
WAW.1.4_2012,FALSE,436,D,OCG,WA,W,2012,WAW.1.4,4n,W_4n,NA,NA,NA,NA,0,WAW.1.4_2012,WAW-1,Saddle Mtn,46.7672,-119.4727,297
WAW.1.5_2012,FALSE,378,D,OCG,WA,W,2012,WAW.1.5,4n,W_4n,NA,NA,NA,NA,16.4,WAW.1.5_2012,WAW-1,Saddle Mtn,46.7672,-119.4727,297
WAW.1.6_2012,TRUE,135,A,OCG,WA,W,2012,WAW.1.6,4n,W_4n,NA,NA,NA,NA,15.2,WAW.1.6_2012,WAW-1,Saddle Mtn,46.7672,-119.4727,297
WAW.1.6_2021,TRUE,135,,OCG,WA,W,2021,WAW.1.6,4n,W_4n,NA,NA,NA,NA,65.4,WAW.1.6_2021,WAW-1,Saddle Mtn,46.7672,-119.4727,297
WAW.1.7_2012,FALSE,236,D,OCG,WA,W,2012,WAW.1.7,4n,W_4n,NA,NA,NA,NA,17.9,WAW.1.7_2012,WAW-1,Saddle Mtn,46.7672,-119.4727,297
WYW.1.2_2012,FALSE,384,D,OCG,WY,W,2012,WYW.1.2,4n,W_4n,NA,NA,NA,NA,,WYW.1.2_2012,WYW-1,Burma Road,42.6006,-109.8341,2111
